state,ws,wd,ti,mol,weight
0,8.64,253.6,0.032,,8.542331196166035e-05
1,10.65,207.8,0.145,,0.0001230528308906
2,6.49,46.7,0.116,,0.0001563449299843
3,15.72,314.4,0.048,,6.618827331554488e-05
4,11.18,302.8,0.027,694.5,5.98695302482496e-05
5,13.79,319.0,0.065,,4.20422204744128e-05
6,10.19,50.1,0.072,,0.0001665820611118
7,5.18,314.5,0.118,,0.0001282198005426
8,22.68,294.6,0.065,1365.8,0.0001008697701423
9,18.6,333.4,0.125,,0.0001222404368883
10,12.48,135.2,0.167,-463.1,0.0001162750053052
11,15.91,90.4,0.054,-1053.3,0.0001203169640935
12,7.98,90.2,0.016,,2.6682680137497256e-06
13,24.65,307.3,0.051,1032.4,0.0001296571437971
14,24.27,208.6,0.035,,6.13563929047906e-05
15,5.68,314.8,0.152,-962.6,7.525231609409045e-05
16,14.72,204.2,0.113,,4.848451980473242e-06
17,5.76,255.7,0.06,974.6,4.699146111225738e-05
18,6.45,252.6,0.147,-953.7,5.7187039037846e-05
19,21.64,305.2,0.049,-1891.5,0.0001637848804483
20,24.64,354.7,0.069,1184.0,6.601990563305267e-07
21,9.98,274.1,0.05,-1365.7,0.0001233624426818
22,20.32,284.0,0.127,,7.806082923055488e-05
23,17.5,222.6,0.054,-533.9,0.0001452050439765
24,20.18,258.1,0.134,,7.431462262942016e-05
25,10.5,169.0,0.01,,0.000156911477595
26,8.43,182.9,0.044,955.7,3.884683729249603e-05
27,8.15,302.6,0.073,1463.4,2.2458490395984884e-06
28,24.98,85.1,0.109,,8.400574044442392e-05
29,23.87,146.3,0.059,452.4,2.3178796110182684e-05
30,22.33,63.2,0.037,-591.7,0.0001544562981581
31,7.03,232.1,0.089,1268.2,8.470024891327068e-05
32,15.1,82.8,0.088,-1938.6,0.0001170441259826
33,18.56,310.7,0.071,1272.5,3.917972021113154e-05
34,9.02,41.6,0.079,-304.6,3.17915770781161e-05
35,6.49,46.6,0.084,,1.3899753142100089e-05
36,22.83,60.5,0.171,,5.712541717780589e-06
37,10.98,73.2,0.044,892.2,8.681874353288906e-05
38,9.07,335.7,0.171,-1106.6,1.858270226342404e-05
39,9.35,103.7,0.029,,8.188976112574141e-05
40,22.25,58.1,0.053,544.2,1.4275212612517323e-05
41,22.66,129.7,0.013,,6.177280347153616e-05
42,19.2,136.6,0.089,1072.2,5.09586826215029e-06
43,22.5,241.2,0.061,,0.0001217738832732
44,9.22,359.2,0.019,683.3,9.980477807276002e-06
45,10.1,92.2,0.115,1219.0,7.488439685883984e-05
46,11.88,62.6,0.167,-1093.9,0.0001350159077641
47,10.05,253.3,0.174,318.5,1.270840108322191e-06
48,8.9,69.9,0.158,-554.5,0.0001647313218287
49,16.32,43.7,0.013,1569.2,0.0001257871721486
50,12.89,20.6,0.016,-1818.1,2.903438190106828e-05
51,15.11,83.1,0.017,-592.8,0.0001594880903061
52,21.86,29.0,0.102,-1146.3,2.0736321700700688e-05
53,14.78,21.6,0.147,,7.350207974382728e-05
54,7.77,19.0,0.032,,9.759690925413656e-05
55,22.78,254.5,0.169,637.6,5.486728284602528e-05
56,19.63,62.9,0.156,1034.9,8.656476690822484e-05
57,23.82,261.7,0.043,-898.2,1.1302734586095665e-06
58,10.7,39.4,0.058,1819.4,3.495719372969023e-05
59,22.55,47.5,0.139,,5.733557140448218e-05
60,6.52,66.1,0.084,-120.8,3.048264357611589e-05
61,20.63,174.4,0.163,-795.1,8.374543159967514e-05
62,21.73,216.1,0.158,1733.2,2.3699060065199787e-05
63,15.17,21.2,0.12,1019.3,0.0001477776647293
64,21.13,247.9,0.165,,0.0001464306427413
65,18.55,357.1,0.155,-1798.6,0.0001349526182765
66,8.46,327.8,0.154,832.5,0.0001598109583944
67,10.13,197.6,0.117,-240.2,6.56003573664906e-05
68,24.12,146.6,0.123,1600.9,2.9645310544464667e-05
69,9.58,150.5,0.124,,0.0001340851874926
70,23.63,42.0,0.117,-642.1,1.825022383204496e-05
