global,eu_nest,height
46,0,23117.124
47,1,22433.449
48,2,21766.028
49,3,21115.297
50,4,20485.282
51,5,19876.016
52,6,19287.537
53,7,18719.885
54,8,18174.838
55,9,17654.434
56,10,17160.288
57,11,16693.613
58,12,16253.512
59,13,15838.47
60,14,15447.062
61,15,15077.941
62,16,14729.839
63,17,14401.558
64,18,14087.699
65,19,13783.17
66,20,13483.17
67,21,13183.17
68,22,12883.17
69,23,12583.17
70,24,12283.17
71,25,11983.17
72,26,11683.17
73,27,11383.17
74,28,11083.17
75,29,10783.17
76,30,10483.17
77,31,10183.17
78,32,9883.17
79,33,9583.17
80,34,9283.17
81,35,8983.17
82,36,8683.17
83,37,8383.17
84,38,8083.17
85,39,7783.17
86,40,7483.17
87,41,7183.17
88,42,6883.17
89,43,6583.17
90,44,6283.17
91,45,5983.17
92,46,5683.17
93,47,5383.17
94,48,5083.17
95,49,4783.17
96,50,4483.17
97,51,4183.17
98,52,3884.543
99,53,3592.249
100,54,3309.912
101,55,3037.61
102,56,2775.435
103,57,2523.483
104,58,2281.864
105,59,2050.699
106,60,1830.122
107,61,1620.284
108,62,1421.355
109,63,1233.526
110,64,1057.019
111,65,892.082
112,66,739.009
113,67,598.144
114,68,469.899
115,69,354.776
116,70,253.409
117,71,166.626
118,72,95.582
119,73,42.083
120,74,10.0
