sector,wind_direction,sector_probability,weibull_a,weibull_k,turbulence_intensity
0,0.0,0.0359715203597152,9.176929,2.392578,0.1
1,30.0,0.0394868203948682,9.782334,2.447266,0.1
2,60.0,0.0516739505167395,9.531809,2.412109,0.1
3,90.0,0.07000154070001541,9.909545,2.591797,0.1
4,120.0,0.08364547083645471,10.04269,2.755859,0.1
5,150.0,0.064348500643485,9.593921,2.595703,0.1
6,180.0,0.0864319408643194,9.584007,2.583984,0.1
7,210.0,0.117705101177051,10.51499,2.548828,0.1
8,240.0,0.151575701515757,11.39895,2.470703,0.1
9,270.0,0.14737920147379202,11.68746,2.607422,0.1
10,300.0,0.10012050100120501,11.63732,2.626953,0.1
11,330.0,0.051659750516597505,10.08803,2.326172,0.1
