state,wd,ws,weight
0,0.0,3.5,0.00158
1,0.0,6.0,0.00244
2,0.0,8.5,0.00319
3,0.0,12.5,0.0036700002
4,0.0,17.5,0.00042
5,0.0,20.0,7e-05
6,10.0,3.5,0.0013400001
7,10.0,6.0,0.0023
8,10.0,8.5,0.00281
9,10.0,12.5,0.00373
10,10.0,17.5,0.00037
11,10.0,20.0,5e-05
12,20.0,3.5,0.0019
13,20.0,6.0,0.00298
14,20.0,8.5,0.00352
15,20.0,12.5,0.00447
16,20.0,17.5,0.00052
17,20.0,20.0,5e-05
18,30.0,3.5,0.00264
19,30.0,6.0,0.00391
20,30.0,8.5,0.00386
21,30.0,12.5,0.00399
22,30.0,17.5,0.00042
23,30.0,20.0,8.0000005e-05
24,40.0,3.5,0.00321
25,40.0,6.0,0.00343
26,40.0,8.5,0.00321
27,40.0,12.5,0.0035899999
28,40.0,17.5,0.00046999997
29,40.0,20.0,5e-05
30,50.0,3.5,0.00373
31,50.0,6.0,0.00427
32,50.0,8.5,0.00374
33,50.0,12.5,0.00458
34,50.0,17.5,0.00071999995
35,50.0,20.0,7e-05
36,60.0,3.5,0.00456
37,60.0,6.0,0.00472
38,60.0,8.5,0.00457
39,60.0,12.5,0.00588
40,60.0,17.5,0.00117
41,60.0,20.0,0.000120000004
42,70.0,3.5,0.00451
43,70.0,6.0,0.0046
44,70.0,8.5,0.0047
45,70.0,12.5,0.00727
46,70.0,17.5,0.0016
47,70.0,20.0,0.00043000001
48,80.0,3.5,0.00456
49,80.0,6.0,0.00456
50,80.0,8.5,0.00519
51,80.0,12.5,0.00719
52,80.0,17.5,0.0018099999
53,80.0,20.0,0.0005
54,90.0,3.5,0.00509
55,90.0,6.0,0.00501
56,90.0,8.5,0.0052300002
57,90.0,12.5,0.0077
58,90.0,17.5,0.00182
59,90.0,20.0,0.00035
60,100.0,3.5,0.00504
61,100.0,6.0,0.005
62,100.0,8.5,0.0050199996
63,100.0,12.5,0.0074199997
64,100.0,17.5,0.0015
65,100.0,20.0,0.00021
66,110.0,3.5,0.00533
67,110.0,6.0,0.0058
68,110.0,8.5,0.00666
69,110.0,12.5,0.00962
70,110.0,17.5,0.0021
71,110.0,20.0,0.00017999999
72,120.0,3.5,0.00756
73,120.0,6.0,0.00738
74,120.0,8.5,0.0074299998
75,120.0,12.5,0.0115600005
76,120.0,17.5,0.00247
77,120.0,20.0,0.00033
78,130.0,3.5,0.00896
79,130.0,6.0,0.00892
80,130.0,8.5,0.00727
81,130.0,12.5,0.00927
82,130.0,17.5,0.0012800001
83,130.0,20.0,0.00014
84,140.0,3.5,0.00787
85,140.0,6.0,0.0068
86,140.0,8.5,0.0050199996
87,140.0,12.5,0.0064700004
88,140.0,17.5,0.00089
89,140.0,20.0,8.0000005e-05
90,150.0,3.5,0.00717
91,150.0,6.0,0.00555
92,150.0,8.5,0.00378
93,150.0,12.5,0.00393
94,150.0,17.5,0.00056
95,150.0,20.0,0.0001
96,160.0,3.5,0.0057099997
97,160.0,6.0,0.0038400001
98,160.0,8.5,0.003
99,160.0,12.5,0.00339
100,160.0,17.5,0.00066
101,160.0,20.0,0.00014999999
102,170.0,3.5,0.0051700003
103,170.0,6.0,0.00361
104,170.0,8.5,0.0029199999
105,170.0,12.5,0.00385
106,170.0,17.5,0.00092
107,170.0,20.0,0.00017000001
108,180.0,3.5,0.00559
109,180.0,6.0,0.00413
110,180.0,8.5,0.0034400001
111,180.0,12.5,0.00518
112,180.0,17.5,0.00125
113,180.0,20.0,0.00031
114,190.0,3.5,0.00551
115,190.0,6.0,0.00475
116,190.0,8.5,0.00412
117,190.0,12.5,0.0064999997
118,190.0,17.5,0.0016500001
119,190.0,20.0,0.00046999997
120,200.0,3.5,0.00619
121,200.0,6.0,0.00654
122,200.0,8.5,0.0054699997
123,200.0,12.5,0.00875
124,200.0,17.5,0.00247
125,200.0,20.0,0.00066
126,210.0,3.5,0.00738
127,210.0,6.0,0.00795
128,210.0,8.5,0.0076099997
129,210.0,12.5,0.01179
130,210.0,17.5,0.00345
131,210.0,20.0,0.00112
132,220.0,3.5,0.00745
133,220.0,6.0,0.00701
134,220.0,8.5,0.00758
135,220.0,12.5,0.0148599995
136,220.0,17.5,0.00559
137,220.0,20.0,0.00212
138,230.0,3.5,0.00796
139,230.0,6.0,0.0069
140,230.0,8.5,0.00798
141,230.0,12.5,0.018760001
142,230.0,17.5,0.008169999
143,230.0,20.0,0.00365
144,240.0,3.5,0.00861
145,240.0,6.0,0.0069700005
146,240.0,8.5,0.00748
147,240.0,12.5,0.01846
148,240.0,17.5,0.00853
149,240.0,20.0,0.00455
150,250.0,3.5,0.00759
151,250.0,6.0,0.0068900003
152,250.0,8.5,0.0074699996
153,250.0,12.5,0.01751
154,250.0,17.5,0.00801
155,250.0,20.0,0.00511
156,260.0,3.5,0.00605
157,260.0,6.0,0.00567
158,260.0,8.5,0.00638
159,260.0,12.5,0.015859999
160,260.0,17.5,0.00818
161,260.0,20.0,0.00546
162,270.0,3.5,0.0055400003
163,270.0,6.0,0.00493
164,270.0,8.5,0.00555
165,270.0,12.5,0.01285
166,270.0,17.5,0.00686
167,270.0,20.0,0.0043
168,280.0,3.5,0.0047299997
169,280.0,6.0,0.00414
170,280.0,8.5,0.00449
171,280.0,12.5,0.01018
172,280.0,17.5,0.00475
173,280.0,20.0,0.0031299999
174,290.0,3.5,0.00528
175,290.0,6.0,0.00537
176,290.0,8.5,0.00537
177,290.0,12.5,0.01
178,290.0,17.5,0.0038800002
179,290.0,20.0,0.00243
180,300.0,3.5,0.00545
181,300.0,6.0,0.00719
182,300.0,8.5,0.00686
183,300.0,12.5,0.01155
184,300.0,17.5,0.00397
185,300.0,20.0,0.00177
186,310.0,3.5,0.0037200002
187,310.0,6.0,0.00513
188,310.0,8.5,0.00488
189,310.0,12.5,0.00923
190,310.0,17.5,0.0034999999
191,310.0,20.0,0.0014
192,320.0,3.5,0.0025099998
193,320.0,6.0,0.00302
194,320.0,8.5,0.0027700001
195,320.0,12.5,0.0064
196,320.0,17.5,0.00257
197,320.0,20.0,0.00095
198,330.0,3.5,0.00207
199,330.0,6.0,0.0025799999
200,330.0,8.5,0.0031400002
201,330.0,12.5,0.0062300004
202,330.0,17.5,0.0019200001
203,330.0,20.0,0.00052
204,340.0,3.5,0.00147
205,340.0,6.0,0.0021799998
206,340.0,8.5,0.00283
207,340.0,12.5,0.00514
208,340.0,17.5,0.00091
